latitude,longitude,id,name,opening_hours,outdoor_seating,smoking,wheelchair,wheelchair_toilets,url,city,housenumber,postcode,street,website
53.2193577,6.5640251,node/264259561,Mr. Mofongo,Mo-Sa 11:00-03:00+,yes,outside,limited,no,NA,NA,NA,NA,NA,NA
53.2109614,6.5647475,way/604914353,Starbucks,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA
53.2260089,6.5977883,node/608527382,Westerhof,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53.2121355,6.5661422,way/783840714,MendiniRestaurant,NA,yes,NA,yes,NA,https://www.groningermuseum.nl/bezoek/mendinirestaurant,NA,NA,NA,NA,NA
53.2166259,6.5638943,node/918944223,Café De Beurs,NA,yes,NA,limited,NA,NA,NA,NA,NA,NA,NA
53.2183038,6.5711668,node/1129293295,Stadtlander,NA,yes,NA,limited,NA,http://www.eetcafestadtlander.nl,Groningen,35,9711PJ,Poelestraat,NA
53.2180028,6.5706047,node/1129293301,Chupitos,NA,NA,NA,NA,NA,NA,Groningen,9,9711PC,Peperstraat,https://chupitos.nl/locations/groningen
53.2177448,6.5666874,node/1233343988,Favolosa,NA,yes,NA,no,NA,NA,Groningen,7,9711LA,Herestraat,NA
53.2184278,6.5705218,node/1546912654,Het Concerthuis,NA,yes,NA,NA,NA,NA,Groningen,30,9712KB,Poelestraat,NA
53.2203351,6.566601,node/1817743854,Coffee Company,"Mo-We,Fr 08:00-18:00, Th 08:00-21:00, Sa 09:00-19:00, Su 10:00-18:00",NA,NA,limited,no,NA,Groningen,39,9712HB,Oude Ebbingestraat,https://coffeecompany.nl/
53.2152649,6.569897,node/1987169048,Coffee Break,"Mo,Tu,We,Fr 08:00-18:00; Th 08:00-21:30; Sa 09:00-18:00; Su 10:00-18:00",NA,no,yes,NA,NA,Groningen,22,9711HG,Gedempte Zuiderdiep,http://www.coffee-break.nl
53.2128184,6.5561843,node/2386496399,Café Bolhuis,NA,NA,NA,NA,NA,NA,Groningen,1,9726CN,Wester Badstraat,NA
